X,Y,osm_id,code,fclass,name
-70.7178857,41.9875344,76255947,6101,rail,
-70.7178742,41.9873367,76255947,6101,rail,
-70.7177872,41.9869973,76255947,6101,rail,
-70.717732,41.9867564,76255947,6101,rail,
-70.7178887,41.9878525,76255969,6101,rail,
-70.7178931,41.9877123,76255969,6101,rail,
-70.7178857,41.9875344,76255969,6101,rail,
-70.9403884,42.1268079,93040257,6101,rail,
-70.940222,42.1265608,93040257,6101,rail,
-70.9401376,42.1264054,93040257,6101,rail,
-70.9400349,42.1261442,93040257,6101,rail,
-70.9399477,42.1259158,93040257,6101,rail,
-70.9403884,42.1268079,93040258,6101,rail,
-70.9409356,42.1275233,93040258,6101,rail,
-70.9411839,42.1279798,93040258,6101,rail,
-70.9413557,42.1283787,93040258,6101,rail,
-70.8098141,42.0074687,281971795,6101,rail,Plymouth Branch
-70.8097019,42.0074144,281971795,6101,rail,Plymouth Branch
-70.8097019,42.0074144,281971796,6101,rail,Plymouth Branch
-70.8077919,42.0064792,281971796,6101,rail,Plymouth Branch
-70.8064227,42.0058196,281971796,6101,rail,Plymouth Branch
-70.8054833,42.0054498,281971796,6101,rail,Plymouth Branch
-70.8046704,42.005152,281971796,6101,rail,Plymouth Branch
-70.8036144,42.0048701,281971796,6101,rail,Plymouth Branch
-70.8027388,42.0046857,281971796,6101,rail,Plymouth Branch
-70.8019418,42.0045562,281971796,6101,rail,Plymouth Branch
-70.8014315,42.0044926,281971796,6101,rail,Plymouth Branch
-70.8001243,42.0043713,281971796,6101,rail,Plymouth Branch
-70.7947361,42.0039601,281971796,6101,rail,Plymouth Branch
-70.7864124,42.0033145,281971796,6101,rail,Plymouth Branch
-70.7765326,42.0025637,281971796,6101,rail,Plymouth Branch
-70.7752947,42.0025038,281971796,6101,rail,Plymouth Branch
-70.7739922,42.0024902,281971796,6101,rail,Plymouth Branch
-70.6836514,41.9782631,289325024,6101,rail,
-70.6869318,41.9797505,289325024,6101,rail,
-70.6872134,41.9798702,289325024,6101,rail,
-70.6877797,41.9800824,289325024,6101,rail,
-70.7120533,41.9911144,289325028,6101,rail,Plymouth Branch
-70.7119385,41.9910602,289325028,6101,rail,Plymouth Branch
-70.7119385,41.9910602,289325029,6101,rail,Plymouth Branch
-70.7064564,41.9885848,289325029,6101,rail,Plymouth Branch
-70.7050946,41.9879743,289325029,6101,rail,Plymouth Branch
-70.7023165,41.9867209,289325029,6101,rail,Plymouth Branch
-70.6992298,41.9853194,289325029,6101,rail,Plymouth Branch
-70.6984658,41.9849814,289325029,6101,rail,Plymouth Branch
-70.721521,41.9953568,289325030,6101,rail,
-70.720788,41.994989,289325030,6101,rail,
-70.7204303,41.9948071,289325030,6101,rail,
-70.7201639,41.9946679,289325030,6101,rail,
-70.7199022,41.9945127,289325030,6101,rail,
-70.719169,41.9799118,289325031,6101,rail,
-70.7186138,41.9807493,289325031,6101,rail,
-70.718249,41.9812796,289325031,6101,rail,
-70.7178681,41.9818519,289325031,6101,rail,
-70.717683,41.982123,289325031,6101,rail,
-70.7175141,41.9824042,289325031,6101,rail,
-70.717396,41.9826295,289325031,6101,rail,
-70.7172888,41.9828468,289325031,6101,rail,
-70.7172137,41.9830821,289325031,6101,rail,
-70.7171654,41.9833313,289325031,6101,rail,
-70.7171332,41.9835825,289325031,6101,rail,
-70.7171278,41.9837579,289325031,6101,rail,
-70.7171573,41.984077,289325031,6101,rail,
-70.7172137,41.984386,289325031,6101,rail,
-70.7173129,41.9847927,289325031,6101,rail,
-70.7175409,41.9857158,289325031,6101,rail,
-70.7177394,41.9865272,289325031,6101,rail,
-70.7178011,41.9867585,289325031,6101,rail,
-70.7199022,41.9945127,289325032,6101,rail,
-70.7195229,41.9942557,289325032,6101,rail,
-70.71917,41.9939738,289325032,6101,rail,
-70.7189011,41.9936848,289325032,6101,rail,
-70.7199281,41.9944796,289325033,6101,rail,
-70.7203036,41.9946949,289325033,6101,rail,
-70.7208534,41.994972,289325033,6101,rail,
-70.7216152,41.9953627,289325033,6101,rail,
-70.7221473,41.9956425,289325033,6101,rail,
-70.718949,41.9936643,289325034,6101,rail,
-70.7192012,41.9939493,289325034,6101,rail,
-70.7195633,41.9942404,289325034,6101,rail,
-70.7199281,41.9944796,289325034,6101,rail,
-70.7176328,41.990082,289325035,6101,rail,
-70.7176332,41.990151,289325035,6101,rail,
-70.7176364,41.9902195,289325035,6101,rail,
-70.7176455,41.990361,289325035,6101,rail,
-70.7176723,41.9905464,289325035,6101,rail,
-70.7177179,41.9907458,289325035,6101,rail,
-70.7178279,41.9911046,289325035,6101,rail,
-70.7181578,41.9920416,289325035,6101,rail,
-70.7183777,41.9926416,289325035,6101,rail,
-70.7184823,41.9929067,289325035,6101,rail,
-70.7185923,41.993142,289325035,6101,rail,
-70.7187157,41.9933493,289325035,6101,rail,
-70.7188391,41.9935227,289325035,6101,rail,
-70.718949,41.9936643,289325035,6101,rail,
-70.7179459,41.987863,289325036,6101,rail,
-70.7178896,41.9885209,289325036,6101,rail,
-70.7177449,41.9892966,289325036,6101,rail,
-70.7177009,41.9895587,289325036,6101,rail,
-70.7176578,41.9898194,289325036,6101,rail,
-70.7176386,41.9899731,289325036,6101,rail,
-70.7176328,41.990082,289325036,6101,rail,
-70.7179325,41.9875301,289325037,6101,rail,
-70.7179459,41.9876975,289325037,6101,rail,
-70.7179459,41.987863,289325037,6101,rail,
-70.7178011,41.9867585,289325038,6101,rail,
-70.7179325,41.9875301,289325038,6101,rail,
-70.7277574,41.9740236,289325040,6101,rail,
-70.7251288,41.9755492,289325040,6101,rail,
-70.7250031,41.9756282,289325040,6101,rail,
-70.7249114,41.9756927,289325040,6101,rail,
-70.7247319,41.9758182,289325040,6101,rail,
-70.7243675,41.9760758,289325040,6101,rail,
-70.7247319,41.9758182,289325041,6101,rail,
-70.7249894,41.9755909,289325041,6101,rail,
-70.727862,41.9741432,289325042,6101,rail,
-70.7251905,41.9757006,289325042,6101,rail,
-70.7249921,41.9758103,289325042,6101,rail,
-70.7243591,41.9761113,289325042,6101,rail,
-70.7239996,41.9762908,289325042,6101,rail,
-70.7243591,41.9761113,289325043,6101,rail,
-70.7247829,41.9759438,289325043,6101,rail,
-70.7251101,41.9757943,289325043,6101,rail,
-70.7252029,41.9757515,289325043,6101,rail,
-70.725307,41.9756987,289325043,6101,rail,
-70.7279103,41.9741811,289325043,6101,rail,
-70.728259,41.9740814,289325044,6101,rail,
-70.7259147,41.9754473,289325044,6101,rail,
-70.7255634,41.9756388,289325044,6101,rail,
-70.725427,41.9756996,289325044,6101,rail,
-70.7252898,41.9757564,289325044,6101,rail,
-70.7247829,41.9759438,289325044,6101,rail,
-70.7231667,41.9960939,289325045,6101,rail,Plymouth Branch
-70.7230023,41.996022,289325045,6101,rail,Plymouth Branch
-70.7230023,41.996022,289325046,6101,rail,Plymouth Branch
-70.7221473,41.9956425,289325046,6101,rail,Plymouth Branch
-70.721521,41.9953568,289325046,6101,rail,Plymouth Branch
-70.723654,41.9963069,289325047,6101,rail,Plymouth Branch
-70.7235487,41.9962609,289325047,6101,rail,Plymouth Branch
-70.7235487,41.9962609,289325048,6101,rail,Plymouth Branch
-70.7231667,41.9960939,289325048,6101,rail,Plymouth Branch
-70.7537879,42.0023529,289333774,6101,rail,
-70.7562944,42.0023785,289333774,6101,rail,
-70.7581904,42.0023913,289333774,6101,rail,
-70.7587364,42.0024009,289333774,6101,rail,
-70.7597477,42.0023642,289333774,6101,rail,
-70.7581904,42.0023913,289333775,6101,rail,
-70.7578378,42.0024041,289333775,6101,rail,
-70.7574552,42.0024488,289333775,6101,rail,
-70.7571199,42.0024616,289333775,6101,rail,
-70.7541767,42.0024379,289333775,6101,rail,
-70.7554359,42.0023254,289333776,6101,rail,
-70.7562944,42.0023785,289333776,6101,rail,
-70.7739922,42.0024902,289333777,6101,rail,Plymouth Branch
-70.7738147,42.0024902,289333777,6101,rail,Plymouth Branch
-70.7738147,42.0024902,289333778,6101,rail,Plymouth Branch
